,Accuracy(%),Duration(s),Activation 1,Activation 2,Dropout rate,Learning rate
17,83.0,135.613,relu,relu,0.5,0.001
19,78.10000000000001,136.884,relu,tanh,0.8,0.001
12,77.2,135.982,tanh,relu,0.2,0.001
1,76.8,134.683,relu,sigmoid,0.5,0.001
18,76.8,136.784,relu,tanh,0.8,0.001
16,73.5,140.827,tanh,sigmoid,0.5,0.001
20,72.39999999999999,140.0,tanh,sigmoid,0.2,0.001
15,69.3,139.485,tanh,sigmoid,0.2,0.01
11,67.80000000000001,135.633,relu,tanh,0.2,0.01
9,67.5,139.257,sigmoid,sigmoid,0.5,0.001
14,67.4,135.393,relu,tanh,0.5,0.01
5,64.8,135.495,sigmoid,relu,0.8,0.001
2,62.7,135.398,tanh,tanh,0.2,0.1
10,60.3,135.39,sigmoid,relu,0.8,0.001
7,57.8,134.833,relu,tanh,0.2,0.1
6,54.1,134.511,relu,tanh,0.8,0.1
13,49.6,134.727,tanh,relu,0.5,0.01
3,15.1,132.86,relu,relu,0.2,0.1
8,14.7,134.262,sigmoid,relu,0.5,0.1
4,14.399999999999999,134.486,sigmoid,relu,0.2,0.01
