,Accuracy(%),Duration(s),Dense 1,Activation 1,Dense 2,Activation 2
23,64.5,16.828,200,relu,200,sigmoid
22,64.2,15.723,200,relu,200,relu
20,63.9,15.772,200,relu,100,sigmoid
2,63.800000000000004,11.767,100,relu,100,sigmoid
5,63.800000000000004,12.297,100,relu,200,sigmoid
6,63.3,12.927,100,relu,200,tanh
1,63.1,11.801,100,relu,100,relu
4,63.0,11.508,100,relu,200,relu
19,62.9,17.138,200,relu,100,relu
3,62.2,11.411,100,relu,100,tanh
27,61.3,14.858,200,sigmoid,100,tanh
10,61.1,11.799,100,sigmoid,200,relu
29,60.9,17.134,200,sigmoid,200,sigmoid
26,60.9,15.682,200,sigmoid,100,sigmoid
24,60.9,16.047,200,relu,200,tanh
21,60.9,15.707,200,relu,100,tanh
28,60.8,16.978,200,sigmoid,200,relu
25,60.6,14.741,200,sigmoid,100,relu
8,60.6,11.177,100,sigmoid,100,sigmoid
9,60.5,11.479,100,sigmoid,100,tanh
7,60.0,11.312,100,sigmoid,100,relu
11,59.9,11.772,100,sigmoid,200,sigmoid
36,59.8,17.864,200,tanh,200,tanh
12,59.699999999999996,11.917,100,sigmoid,200,tanh
30,59.5,17.185,200,sigmoid,200,tanh
32,59.4,16.3,200,tanh,100,sigmoid
16,59.3,11.718,100,tanh,200,relu
31,59.3,16.22,200,tanh,100,relu
15,59.199999999999996,11.395,100,tanh,100,tanh
34,59.199999999999996,16.386,200,tanh,200,relu
17,58.9,11.647,100,tanh,200,sigmoid
14,58.599999999999994,11.593,100,tanh,100,sigmoid
33,58.4,16.107,200,tanh,100,tanh
13,58.3,11.162,100,tanh,100,relu
35,58.099999999999994,16.433,200,tanh,200,sigmoid
18,57.599999999999994,12.101,100,tanh,200,tanh
