,Accuracy(%),Duration(s),Dense 1,Activation 1,Dense 2,Activation 2,Learning rate
12,63.800000000000004,10.9,100,relu,200,relu,0.001
25,63.5,17.219,200,relu,100,sigmoid,0.001
24,62.5,19.273,200,relu,200,relu,0.001
1,61.5,16.501,200,relu,100,relu,0.001
4,60.6,16.352,200,sigmoid,100,relu,0.001
10,60.5,18.962,200,sigmoid,100,tanh,0.001
18,59.8,17.239,200,tanh,100,tanh,0.001
26,59.4,10.122,100,tanh,200,relu,0.001
21,59.0,9.845,100,tanh,100,sigmoid,0.001
14,58.599999999999994,18.269,200,tanh,100,sigmoid,0.001
27,54.900000000000006,10.434,100,sigmoid,200,sigmoid,0.01
29,52.7,18.329,200,sigmoid,200,relu,0.01
9,50.3,10.434,100,tanh,200,relu,0.01
22,49.5,10.187,100,tanh,100,tanh,0.01
20,49.3,17.628,200,tanh,100,tanh,0.01
6,45.9,17.013,200,tanh,200,tanh,0.01
19,41.6,18.291,200,tanh,100,relu,0.1
3,40.1,10.959,100,relu,200,sigmoid,0.01
23,39.7,17.1,200,relu,200,relu,0.01
8,37.1,20.124,200,tanh,200,sigmoid,0.1
13,36.7,10.889,100,relu,100,tanh,0.01
2,33.7,9.679,100,tanh,100,relu,0.1
5,30.5,16.682,200,relu,200,sigmoid,0.1
15,30.2,10.079,100,sigmoid,100,sigmoid,0.1
7,26.3,17.503,200,relu,100,tanh,0.1
28,15.1,19.132,200,sigmoid,200,tanh,0.1
16,14.399999999999999,18.475,200,sigmoid,200,relu,0.1
17,14.399999999999999,17.363,200,relu,100,relu,0.1
11,14.399999999999999,18.689,200,relu,100,relu,0.1
30,14.399999999999999,16.761,200,relu,200,relu,0.1
