,Duration(s),Accuracy(%),F1(Macro),F1(Weighted),n_estimators,max_leaf_nodes
0,195.469,58.199999999999996,0.523,0.538,30,100
0,118.682,57.699999999999996,0.518,0.532,20,100
0,121.127,56.89999999999999,0.502,0.518,30,70
0,82.649,56.699999999999996,0.501,0.517,20,70
0,63.913,56.00000000000001,0.502,0.517,10,100
0,65.508,55.00000000000001,0.487,0.502,10,70
0,148.74,54.50000000000001,0.462,0.48,20,40
0,201.825,54.400000000000006,0.457,0.476,30,40
0,86.154,52.7,0.451,0.468,10,40
0,226.565,43.4,0.336,0.355,30,10
0,327.873,41.699999999999996,0.323,0.341,20,10
0,133.536,41.4,0.325,0.341,10,10
